ad_id,campaign_id,listing_id,listing_source,product_area,ad_type,impressions,clicks,revenue,event_date,campaign_metadata
1,CMP-00001,17992,motors,Motors,Featured,1721,95,29.25,2024-02-14,"{""advertiser_name"": ""Wellington Motors"", ""budget_nzd"": 1000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 60, ""campaign_type"": ""launch""}"
2,CMP-00001,7000,jobs,Jobs,Featured,850,58,73.03,2024-10-02,"{""advertiser_name"": ""Seek NZ"", ""budget_nzd"": 5000, ""target_audience"": ""45-55"", ""duration_days"": 60, ""campaign_type"": ""awareness""}"
3,CMP-00001,6959,jobs,Jobs,Banner,9894,385,238.22,2025-09-29,"{""advertiser_name"": ""Seek NZ"", ""budget_nzd"": 500, ""target_audience"": ""35-45"", ""duration_days"": 60, ""campaign_type"": ""conversion""}"
4,CMP-00001,14541,jobs,Jobs,Banner,7955,303,62.01,2025-04-21,"{""advertiser_name"": ""Robert Half"", ""budget_nzd"": 2000, ""target_audience"": ""45-55"", ""duration_days"": 60, ""campaign_type"": ""conversion""}"
5,CMP-00001,39376,marketplace,Marketplace,Gallery,246,9,17.13,2024-11-19,"{""advertiser_name"": ""Sports Direct NZ"", ""budget_nzd"": 1000, ""target_audience"": ""All Ages"", ""duration_days"": 90, ""campaign_type"": ""awareness""}"
6,CMP-00001,13366,jobs,Jobs,Highlight,970,12,18.4,2024-06-19,"{""advertiser_name"": ""Hudson"", ""budget_nzd"": 20000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 30, ""campaign_type"": ""awareness""}"
7,CMP-00001,18596,motors,Motors,Highlight,832,28,103.31,2024-11-30,"{""advertiser_name"": ""Wellington Motors"", ""budget_nzd"": 50000, ""target_audience"": ""18-25"", ""duration_days"": 7, ""campaign_type"": ""conversion""}"
8,CMP-00001,18289,marketplace,Marketplace,Sponsored,5000,87,153.51,2023-09-19,"{""advertiser_name"": ""Game On NZ"", ""budget_nzd"": 1000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 60, ""campaign_type"": ""retargeting""}"
9,CMP-00001,3489,marketplace,Marketplace,Featured,426,25,16.66,2024-04-29,"{""advertiser_name"": ""NZ Retail Group"", ""budget_nzd"": 5000, ""target_audience"": ""18-25"", ""duration_days"": 14, ""campaign_type"": ""conversion""}"
10,CMP-00001,9068,motors,Motors,Featured,119,6,7.24,2024-03-03,"{""advertiser_name"": ""Turners Cars"", ""budget_nzd"": 1000, ""target_audience"": ""55+"", ""duration_days"": 14, ""campaign_type"": ""conversion""}"
11,CMP-00002,3253,property,Property,Featured,583,28,104.11,2026-04-18,"{""advertiser_name"": ""LJ Hooker"", ""budget_nzd"": 5000, ""target_audience"": ""45-55"", ""duration_days"": 30, ""campaign_type"": ""awareness""}"
12,CMP-00002,13017,property,Property,Highlight,74,1,1.72,2026-05-21,"{""advertiser_name"": ""Bayleys"", ""budget_nzd"": 1000, ""target_audience"": ""55+"", ""duration_days"": 60, ""campaign_type"": ""retargeting""}"
13,CMP-00002,17456,marketplace,Marketplace,Highlight,920,37,69.03,2023-09-20,"{""advertiser_name"": ""NZ Retail Group"", ""budget_nzd"": 500, ""target_audience"": ""25-35"", ""duration_days"": 14, ""campaign_type"": ""retargeting""}"
14,CMP-00002,8082,motors,Motors,Sponsored,2226,73,233.97,2026-02-20,"{""advertiser_name"": ""Kiwi Auto"", ""budget_nzd"": 10000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 7, ""campaign_type"": ""retargeting""}"
15,CMP-00002,11974,motors,Motors,Highlight,896,13,26.56,2023-12-08,"{""advertiser_name"": ""Wellington Motors"", ""budget_nzd"": 20000, ""target_audience"": ""55+"", ""duration_days"": 90, ""campaign_type"": ""retargeting""}"
16,CMP-00002,5585,property,Property,Sponsored,2540,34,60.12,2025-10-11,"{""advertiser_name"": ""Property Brokers"", ""budget_nzd"": 2000, ""target_audience"": ""Canterbury Families"", ""duration_days"": 14, ""campaign_type"": ""awareness""}"
17,CMP-00002,30436,marketplace,Marketplace,Highlight,428,21,49.15,2025-06-02,"{""advertiser_name"": ""Sports Direct NZ"", ""budget_nzd"": 1000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 30, ""campaign_type"": ""conversion""}"
18,CMP-00002,8539,marketplace,Marketplace,Sponsored,770,9,22.4,2025-05-08,"{""advertiser_name"": ""Tech Deals NZ"", ""budget_nzd"": 5000, ""target_audience"": ""35-45"", ""duration_days"": 60, ""campaign_type"": ""launch""}"
19,CMP-00002,1712,motors,Motors,Gallery,326,15,53.38,2024-07-12,"{""advertiser_name"": ""Wellington Motors"", ""budget_nzd"": 5000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 14, ""campaign_type"": ""launch""}"
20,CMP-00002,2867,marketplace,Marketplace,Gallery,230,8,16.42,2023-10-12,"{""advertiser_name"": ""Sports Direct NZ"", ""budget_nzd"": 10000, ""target_audience"": ""25-35"", ""duration_days"": 7, ""campaign_type"": ""conversion""}"
21,CMP-00003,13886,jobs,Jobs,Featured,576,10,15.99,2025-08-05,"{""advertiser_name"": ""Michael Page"", ""budget_nzd"": 20000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 14, ""campaign_type"": ""awareness""}"
22,CMP-00003,21480,marketplace,Marketplace,Featured,1208,65,115.32,2025-03-16,"{""advertiser_name"": ""Game On NZ"", ""budget_nzd"": 20000, ""target_audience"": ""35-45"", ""duration_days"": 7, ""campaign_type"": ""launch""}"
23,CMP-00003,13028,property,Property,Gallery,107,1,1.84,2024-03-20,"{""advertiser_name"": ""Barfoot & Thompson"", ""budget_nzd"": 50000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 60, ""campaign_type"": ""awareness""}"
24,CMP-00003,12239,jobs,Jobs,Sponsored,1782,22,21.29,2024-06-05,"{""advertiser_name"": ""Hudson"", ""budget_nzd"": 500, ""target_audience"": ""35-45"", ""duration_days"": 30, ""campaign_type"": ""seasonal""}"
25,CMP-00003,11373,property,Property,Banner,2336,29,98.43,2026-01-24,"{""advertiser_name"": ""Harcourts"", ""budget_nzd"": 5000, ""target_audience"": ""18-25"", ""duration_days"": 60, ""campaign_type"": ""retargeting""}"
26,CMP-00003,24085,marketplace,Marketplace,Gallery,667,13,25.75,2023-09-25,"{""advertiser_name"": ""Game On NZ"", ""budget_nzd"": 20000, ""target_audience"": ""35-45"", ""duration_days"": 7, ""campaign_type"": ""seasonal""}"
27,CMP-00003,11408,property,Property,Highlight,281,5,20.4,2025-10-06,"{""advertiser_name"": ""Barfoot & Thompson"", ""budget_nzd"": 500, ""target_audience"": ""35-45"", ""duration_days"": 30, ""campaign_type"": ""seasonal""}"
28,CMP-00003,10481,marketplace,Marketplace,Sponsored,1948,77,176.3,2023-10-27,"{""advertiser_name"": ""NZ Retail Group"", ""budget_nzd"": 2000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 7, ""campaign_type"": ""conversion""}"
29,CMP-00003,24027,marketplace,Marketplace,Banner,1567,27,30.36,2023-11-24,"{""advertiser_name"": ""NZ Retail Group"", ""budget_nzd"": 1000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 30, ""campaign_type"": ""seasonal""}"
30,CMP-00003,7917,property,Property,Featured,375,8,33.66,2023-12-16,"{""advertiser_name"": ""LJ Hooker"", ""budget_nzd"": 50000, ""target_audience"": ""55+"", ""duration_days"": 30, ""campaign_type"": ""awareness""}"
31,CMP-00004,34731,marketplace,Marketplace,Sponsored,2795,116,100.64,2024-03-14,"{""advertiser_name"": ""Baby Warehouse"", ""budget_nzd"": 20000, ""target_audience"": ""45-55"", ""duration_days"": 60, ""campaign_type"": ""seasonal""}"
32,CMP-00004,5169,property,Property,Highlight,823,20,99.76,2025-09-26,"{""advertiser_name"": ""Harcourts"", ""budget_nzd"": 20000, ""target_audience"": ""35-45"", ""duration_days"": 30, ""campaign_type"": ""launch""}"
33,CMP-00004,10047,marketplace,Marketplace,Gallery,627,12,17.06,2023-10-08,"{""advertiser_name"": ""Fashion Forward"", ""budget_nzd"": 1000, ""target_audience"": ""45-55"", ""duration_days"": 7, ""campaign_type"": ""conversion""}"
34,CMP-00004,10638,jobs,Jobs,Gallery,717,11,22.96,2024-03-31,"{""advertiser_name"": ""Hays Recruitment"", ""budget_nzd"": 5000, ""target_audience"": ""All Ages"", ""duration_days"": 7, ""campaign_type"": ""retargeting""}"
35,CMP-00004,1642,motors,Motors,Banner,2642,47,28.26,2025-12-18,"{""advertiser_name"": ""Wellington Motors"", ""budget_nzd"": 1000, ""target_audience"": ""18-25"", ""duration_days"": 60, ""campaign_type"": ""conversion""}"
36,CMP-00004,29348,marketplace,Marketplace,Featured,1059,66,141.16,2024-10-24,"{""advertiser_name"": ""Collectables Plus"", ""budget_nzd"": 2000, ""target_audience"": ""25-35"", ""duration_days"": 60, ""campaign_type"": ""awareness""}"
37,CMP-00004,42321,marketplace,Marketplace,Highlight,495,16,7.32,2024-04-17,"{""advertiser_name"": ""Game On NZ"", ""budget_nzd"": 500, ""target_audience"": ""Canterbury Families"", ""duration_days"": 7, ""campaign_type"": ""seasonal""}"
