application_id,listing_id,user_id,applied_date,status,source
1,2,1628,2024-05-18 11:01:02,viewed,Trade Me
2,2,6481,2024-05-06 10:47:48,rejected,Trade Me
3,2,20,2024-09-18 11:50:30,rejected,Trade Me
4,2,1444,2024-07-15 01:20:12,viewed,Referral
5,4,2540,2026-03-15 22:58:47,viewed,Trade Me
6,3,1019,2025-03-25 13:01:41,shortlisted,Trade Me
7,4,5861,2026-05-29 05:16:44,viewed,Trade Me
8,2,4276,2026-03-12 03:44:23,shortlisted,Referral
9,8,2978,2025-12-20 02:06:36,viewed,Referral
10,5,3744,2026-08-01 20:15:38,viewed,Trade Me
11,3,4047,2025-05-15 23:47:12,rejected,Referral
12,2,2488,2026-04-07 01:48:24,rejected,Trade Me
13,2,5834,2023-08-05 11:41:38,rejected,Referral
14,3,5954,2024-12-30 10:47:09,rejected,Referral
15,2,2140,2024-12-31 22:42:03,rejected,Trade Me
16,2,5120,2024-11-23 05:31:54,viewed,Trade Me
17,2,5652,2025-01-15 20:26:37,submitted,Direct
18,2,2362,2023-11-30 12:03:33,submitted,Trade Me
19,3,4432,2024-02-07 04:08:12,viewed,Trade Me
20,13,5137,2025-05-29 19:17:14,viewed,Trade Me
21,2,2429,2025-10-12 04:34:16,submitted,Direct
22,2,5629,2024-10-26 05:46:09,rejected,Direct
23,2,3757,2026-05-28 18:47:07,shortlisted,Trade Me
24,2,3379,2025-09-17 09:18:19,viewed,Trade Me
25,2,5920,2026-06-08 04:22:23,rejected,Trade Me
26,2,6393,2025-08-30 02:07:15,submitted,Trade Me
27,9,3041,2025-03-21 12:10:49,viewed,Referral
28,2,2102,2024-07-07 08:15:06,submitted,Trade Me
29,3,2846,2023-08-30 21:57:36,rejected,Trade Me
30,2,2199,2023-09-09 23:07:38,viewed,Trade Me
31,2,2973,2023-09-20 01:20:31,viewed,Trade Me
32,2,4694,2025-08-06 08:36:39,viewed,Trade Me
33,2,5177,2025-03-20 00:24:11,shortlisted,Trade Me
34,5,68,2024-05-24 11:40:32,shortlisted,Trade Me
35,3,908,2025-08-31 11:00:50,viewed,Trade Me
36,2,2444,2024-07-20 23:12:00,viewed,Trade Me
37,8,3754,2025-02-22 16:13:29,submitted,Direct
38,4,394,2024-01-10 11:53:26,viewed,Trade Me
39,2,4988,2026-04-06 01:19:05,submitted,Trade Me
40,2,3696,2024-02-12 22:01:58,submitted,Trade Me
41,6,6009,2025-11-02 19:05:03,shortlisted,Trade Me
42,3,5661,2025-08-22 13:19:44,rejected,Trade Me
43,3,6113,2024-03-11 16:04:26,viewed,Trade Me
44,10,6417,2023-10-26 08:50:40,viewed,Direct
45,5,1487,2026-01-29 12:12:49,viewed,Trade Me
46,4,2635,2026-02-02 17:19:35,rejected,Trade Me
47,2,5965,2025-12-10 13:37:25,viewed,Trade Me
48,6,3641,2026-03-08 16:14:09,shortlisted,Trade Me
49,2,2883,2025-06-05 12:02:46,rejected,Direct
50,2,11,2026-06-19 19:13:36,viewed,Trade Me
51,2,4609,2026-05-12 03:47:59,submitted,Trade Me
52,4,659,2024-08-16 08:27:14,submitted,Trade Me
53,3,3380,2025-02-06 17:39:03,shortlisted,Trade Me
54,2,5436,2025-03-11 21:53:07,rejected,Trade Me
55,2,6790,2024-11-24 16:14:02,submitted,Direct
56,2,6828,2024-02-05 13:10:57,viewed,Trade Me
57,4,5989,2025-10-28 14:38:31,rejected,Trade Me
58,3,6674,2024-03-15 00:12:03,rejected,Trade Me
59,2,329,2026-06-07 22:04:03,shortlisted,Trade Me
60,10,5871,2024-01-14 03:27:24,submitted,Trade Me
61,2,3370,2025-10-19 11:18:10,shortlisted,Trade Me
62,2,3381,2024-10-02 06:37:05,viewed,Direct
63,2,2950,2023-08-28 23:18:50,rejected,Trade Me
64,2,5859,2026-03-26 16:55:24,viewed,Trade Me
65,2,849,2024-06-03 21:24:25,viewed,Trade Me
66,4,4320,2025-01-23 06:10:45,shortlisted,Trade Me
67,9,1892,2026-05-26 10:11:49,rejected,Trade Me
68,3,5771,2026-05-31 20:04:48,submitted,Direct
69,5,6385,2025-03-09 19:29:27,viewed,Trade Me
70,3,6981,2024-07-04 05:53:41,rejected,Trade Me
71,3,614,2024-12-24 04:06:30,rejected,Trade Me
72,9,4102,2024-12-20 19:44:15,viewed,Trade Me
