contact_id,listing_id,listing_source,user_id,product_area,reason,created_date,resolved_date,resolution_time_hours,description,metadata
1,22555,marketplace,8535,Marketplace,Listing Quality,2025-12-12 07:58:28,NULL,NULL,Photos are stock images not actual item,"{""channel"": ""Web"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0033"", ""tags"": [""listing_quality""], ""escalated"": false}"
2,4530,motors,2208,Motors,Billing,2025-10-05 03:12:22,2025-10-05 23:16:09,20.06,Need refund for cancelled listing,"{""channel"": ""Web"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0009"", ""tags"": [""billing""], ""escalated"": false}"
3,6219,jobs,9061,Jobs,Listing Quality,2024-11-23 21:40:02,2024-11-24 17:50:24,20.17,Description contains misleading information,"{""channel"": ""App"", ""priority"": ""High"", ""agent_id"": ""AGT-0007"", ""tags"": [""listing_quality"", ""escalation_risk""], ""escalated"": false}"
4,4075,marketplace,1053,Marketplace,Delivery,2025-05-01 17:53:53,2025-05-03 10:27:18,40.56,Item not received after 14 days,"{""channel"": ""Phone"", ""priority"": ""High"", ""agent_id"": ""AGT-0029"", ""tags"": [""delivery"", ""escalation_risk""], ""escalated"": false}"
5,4239,motors,1424,Motors,Delivery,2025-01-25 18:24:00,2025-02-02 02:55:37,176.53,Courier lost package,"{""channel"": ""App"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0045"", ""tags"": [""delivery""], ""escalated"": false}"
6,1901,jobs,4362,Jobs,Fraud,2025-09-17 15:42:28,2025-09-20 07:47:41,64.09,Seller not responding after payment,"{""channel"": ""Email"", ""priority"": ""Critical"", ""agent_id"": ""AGT-0042"", ""tags"": [""fraud"", ""escalation_risk"", ""trust_safety""], ""escalated"": true}"
7,41723,marketplace,9732,Marketplace,Delivery,2024-10-21 07:37:03,2024-10-22 15:20:38,31.73,Item arrived damaged,"{""channel"": ""Web"", ""priority"": ""High"", ""agent_id"": ""AGT-0031"", ""tags"": [""delivery"", ""escalation_risk""], ""escalated"": false}"
8,NULL,NULL,4642,Marketplace,Account,2024-12-15 12:43:29,2024-12-16 02:25:51,13.71,Account suspended without explanation,"{""channel"": ""Web"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0016"", ""tags"": [""account""], ""escalated"": false}"
9,10136,property,1170,Property,Billing,2024-12-12 11:58:13,2024-12-14 08:25:39,44.46,Double-charged for feature upgrade,"{""channel"": ""App"", ""priority"": ""Low"", ""agent_id"": ""AGT-0018"", ""tags"": [""billing""], ""escalated"": false}"
10,9785,marketplace,9709,Marketplace,Delivery,2025-12-24 11:56:22,2025-12-28 14:20:38,98.4,Tracking number not valid,"{""channel"": ""Phone"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0014"", ""tags"": [""delivery""], ""escalated"": false}"
11,2475,jobs,1793,Jobs,Listing Quality,2025-02-05 10:42:04,2025-02-06 05:59:21,19.29,Listing has incorrect category,"{""channel"": ""Web"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0033"", ""tags"": [""listing_quality""], ""escalated"": false}"
12,7014,property,1889,Property,Listing Quality,2025-08-10 12:17:23,2025-08-10 22:11:24,9.9,Listing has incorrect category,"{""channel"": ""Web"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0039"", ""tags"": [""listing_quality""], ""escalated"": false}"
13,NULL,NULL,6930,Jobs,Account,2023-08-17 20:20:41,2023-08-18 11:39:27,15.31,Need to update email address,"{""channel"": ""Web"", ""priority"": ""High"", ""agent_id"": ""AGT-0028"", ""tags"": [""account"", ""escalation_risk""], ""escalated"": false}"
14,33848,marketplace,9650,Marketplace,Technical,2024-05-22 05:33:14,2024-05-23 04:08:55,22.59,Unable to upload photos to listing,"{""channel"": ""Web"", ""priority"": ""High"", ""agent_id"": ""AGT-0042"", ""tags"": [""technical"", ""escalation_risk""], ""escalated"": false}"
15,NULL,NULL,5257,Motors,Account,2024-02-10 10:44:17,NULL,NULL,Account suspended without explanation,"{""channel"": ""App"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0027"", ""tags"": [""account""], ""escalated"": false}"
16,19328,motors,5191,Motors,Listing Quality,2024-09-17 14:12:39,NULL,NULL,Price seems unrealistic,"{""channel"": ""Web"", ""priority"": ""High"", ""agent_id"": ""AGT-0045"", ""tags"": [""listing_quality"", ""escalation_risk""], ""escalated"": false}"
17,24046,marketplace,5050,Marketplace,Fraud,2024-09-17 19:07:38,2024-09-18 16:28:45,21.35,Fake listing reported by multiple users,"{""channel"": ""Phone"", ""priority"": ""High"", ""agent_id"": ""AGT-0050"", ""tags"": [""fraud"", ""escalation_risk"", ""trust_safety""], ""escalated"": false}"
18,12640,motors,9605,Motors,Fraud,2025-04-10 16:12:21,2025-04-15 13:33:57,117.36,Account appears to be compromised,"{""channel"": ""App"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0035"", ""tags"": [""fraud"", ""trust_safety""], ""escalated"": false}"
