listing_id,user_id,industry,subcategory,role_type,employment_type,title,salary_min,salary_max,salary_display,region,city,status,listed_date,close_date,remote_option,experience_level,view_count,application_count
1,7514,Retail,E-commerce,Permanent,Full Time,Visual Merchandiser,NULL,NULL,Negotiable,Wellington,Wellington City,closed,2025-10-06 03:25:23,2025-10-30 03:25:23,True,Senior,1430,2
2,7593,Legal,Legal Secretaries,Contract,Full Time,Senior Lawyer,NULL,NULL,Negotiable,Canterbury,Ashburton,closed,2025-06-04 23:03:30,2025-06-23 23:03:30,False,Executive,2433,7
3,8991,Government,Project Managers,Permanent,Full Time,Communications Advisor,NULL,NULL,Negotiable,Bay of Plenty,Mount Maunganui,closed,2026-06-11 07:19:11,2026-07-13 07:19:11,False,Mid,397,4
4,8251,Hospitality,Restaurant Managers,Permanent,Full Time,Events Coordinator,74834.35,89605.88,"$74,834-$89,605",Hawkes Bay,Havelock North,filled,2026-02-14 02:15:14,2026-03-25 02:15:14,False,Mid,550,6
5,7527,Hospitality,Events,Contract,Full Time,Barista,105974.89,135608.75,$65/hour,Wellington,Kapiti Coast,closed,2024-01-21 08:28:26,2024-02-09 08:28:26,True,Senior,3834,4
6,7616,Finance,Financial Analysts,Permanent,Full Time,Finance Manager,177746.42,209380.02,$177k-$209k,Wellington,Lower Hutt,expired,2023-12-05 21:21:13,2024-01-01 21:21:13,False,Executive,5862,2
7,7539,Technology,Product Managers,Temporary,Full Time,Junior Software Engineer,48322.06,57094.49,"$48,322-$57,094",Hawkes Bay,Havelock North,closed,2023-08-22 16:29:20,2023-09-12 16:29:20,True,Entry,3513,5
8,8054,Education,Administration,Permanent,Part Time,Primary Teacher,127465.87,141465.71,$127k-$141k,Wellington,Lower Hutt,closed,2023-11-13 04:19:33,2023-12-21 04:19:33,False,Senior,5467,5
9,7116,Retail,E-commerce,Permanent,Full Time,Sales Consultant,66799.09,77460.1,"$66,799-$77,460",Otago,Dunedin,closed,2025-10-29 00:39:29,2025-11-13 00:39:29,False,Mid,704,3
10,7738,Education,Early Childhood,Temporary,Part Time,Secondary Teacher,122048.14,137691.61,$122k-$137k,Waikato,Tauranga,expired,2024-09-30 07:03:19,2024-11-03 07:03:19,False,Senior,3925,6
11,7037,Agriculture,Horticulture,Permanent,Full Time,Farm Manager,45284.85,51148.67,"$45,284-$51,148",Bay of Plenty,Whakatane,filled,2024-06-03 18:44:33,2024-07-18 18:44:33,False,Entry,3069,3
12,8297,Technology,QA/Testing,Permanent,Casual,Product Manager,49816.51,62892.14,"$49,816-$62,892",Auckland,Waitakere,expired,2024-05-02 00:28:00,2024-06-01 00:28:00,True,Entry,3936,3
13,7929,Healthcare,Caregivers,Permanent,Full Time,Healthcare Assistant,117650.68,150695.78,$117k-$150k,Canterbury,Christchurch,expired,2026-02-04 21:57:02,2026-03-17 21:57:02,False,Senior,1063,6
14,8860,Accounting,Accountants,Contract,Casual,Management Accountant,49696.56,63873.81,$30/hour,Waikato,Tauranga,closed,2024-02-19 06:33:45,2024-03-07 06:33:45,True,Entry,2142,50
15,7447,Finance,Financial Analysts,Permanent,Full Time,Finance Manager,205993.12,256430.72,$205k-$256k,Taranaki,Hawera,filled,2023-09-21 03:52:31,2023-11-03 03:52:31,False,Executive,4429,3
16,8397,Hospitality,Chefs,Permanent,Full Time,Restaurant Manager,121489.37,133774.84,$121k-$133k,Auckland,Waitakere,closed,2024-12-11 18:11:54,2024-12-28 18:11:54,False,Senior,1923,2
17,8077,Hospitality,Bar Staff,Permanent,Full Time,Duty Manager,202008.55,252637.49,$202k-$252k,Auckland,Auckland City,closed,2025-06-02 21:17:04,2025-06-22 21:17:04,False,Executive,2190,5
18,7849,Construction,Site Managers,Contract,Full Time,Quantity Surveyor,NULL,NULL,Negotiable,Auckland,Manukau,closed,2024-01-13 01:19:46,2024-02-05 01:19:46,False,Executive,3166,6
19,7634,Hospitality,Events,Contract,Full Time,Barista,104811.12,124819.92,$60/hour,Waikato,Hamilton,filled,2023-08-16 17:53:26,2023-09-13 17:53:26,True,Senior,5622,6
20,7608,Healthcare,Allied Health,Permanent,Full Time,Registered Nurse,NULL,NULL,Negotiable,Waikato,Hamilton,filled,2025-08-21 07:10:51,2025-09-22 07:10:51,False,Executive,2044,6
21,7744,Manufacturing,Machine Operators,Permanent,Full Time,Warehouse Manager,NULL,NULL,Negotiable,Auckland,Papakura,closed,2025-01-18 01:20:44,2025-02-13 01:20:44,False,Mid,2545,4
22,8878,Healthcare,Nurses,Contract,Casual,Pharmacist,109922.92,141369.86,$67/hour,Canterbury,Ashburton,closed,2025-06-01 19:32:45,2025-06-15 19:32:45,False,Senior,1788,1
23,7220,Manufacturing,Quality Control,Permanent,Full Time,Production Manager,66313.91,85360.22,"$66,313-$85,360",Bay of Plenty,Rotorua,filled,2023-12-13 17:21:11,2024-01-20 17:21:11,False,Mid,4485,6
24,7177,Technology,Data Analysts,Permanent,Full Time,UX Designer,47225.6,54945.95,"$47,225-$54,945",Otago,Queenstown,expired,2024-12-18 19:03:43,2025-01-30 19:03:43,True,Entry,2858,2
25,8714,Government,Communications,Contract,Part Time,Regulatory Officer,NULL,NULL,Negotiable,Wellington,Kapiti Coast,expired,2024-07-23 01:38:30,2024-08-08 01:38:30,False,Mid,2128,4
26,7702,Construction,Site Managers,Permanent,Casual,Project Manager,NULL,NULL,Negotiable,Wellington,Kapiti Coast,filled,2024-01-14 09:39:47,2024-02-13 09:39:47,False,Entry,3012,6
27,7863,Construction,Quantity Surveyors,Permanent,Casual,Mid Carpenter,74991.83,88873.14,"$74,991-$88,873",Manawatu-Wanganui,Palmerston North,closed,2024-08-11 03:36:24,2024-09-01 03:36:24,True,Mid,2586,6
28,8911,Manufacturing,Logistics,Contract,Part Time,Production Manager,48490.79,61693.17,$29/hour,Manawatu-Wanganui,Feilding,closed,2025-11-03 00:04:17,2025-12-04 00:04:17,False,Entry,1674,5
