listing_id,user_id,category,subcategory,title,condition,asking_price,buy_now_price,region,city,status,listed_date,close_date,sold_date,shipping_available,accepts_offers,view_count,watchlist_count,bid_count
1,9774,Baby & Kids,Feeding,New Fisher & Paykel Feeding Item,New,488.09,NULL,Auckland,North Shore,sold,2026-03-24 09:06:19,2026-04-04 09:06:19,2026-04-05 09:06:19,True,True,201,22,8
2,8882,Toys & Games,Dolls,Used - Good Sony Dolls Item,Used - Good,354.95,406.84,Auckland,Waitakere,sold,2025-03-27 22:27:20,2025-04-06 22:27:20,2025-04-06 22:27:20,False,False,418,38,4
3,1008,Toys & Games,Building Sets,Used - Average Samsung Building Sets Item,Used - Average,32.29,37.59,Auckland,Franklin,sold,2025-08-06 12:02:17,2025-08-16 12:02:17,2025-08-15 12:02:17,True,True,1005,66,7
4,4658,Baby & Kids,Prams,Used - Like New Giant Prams Item,Used - Like New,334.18,406.47,Wellington,Porirua,closed,2025-04-21 04:17:23,2025-05-02 04:17:23,NULL,False,True,1222,235,3
5,2286,Collectables,Vintage,Used - Good Breville Vintage Item,Used - Good,4208.77,4922.24,Auckland,Auckland City,withdrawn,2024-09-30 06:16:39,2024-10-07 06:16:39,NULL,True,True,601,48,0
6,5374,Computers,Peripherals,Used - Like New Dyson Peripherals Item,Used - Like New,4189.54,4722.24,Canterbury,Timaru,closed,2023-11-26 01:38:28,2023-12-04 01:38:28,NULL,True,True,1083,85,0
7,1419,Books & Music,Non-Fiction,New Hasbro Non-Fiction Item,New,478.89,NULL,Auckland,North Shore,closed,2024-05-28 04:55:31,2024-06-06 04:55:31,NULL,False,True,570,96,3
8,798,Home & Living,Appliances,Used - Good Apple Appliances Item,Used - Good,406.24,524.49,Canterbury,Ashburton,sold,2024-09-18 01:26:15,2024-10-01 01:26:15,2024-09-28 01:26:15,True,False,740,72,6
9,7095,Health & Beauty,Skincare,New Kathmandu Skincare Item,New,149.6,NULL,Wellington,Porirua,sold,2023-12-07 18:01:34,2023-12-18 18:01:34,2023-12-19 18:01:34,True,True,1196,84,7
10,9355,Health & Beauty,Fragrance,Used - Like New Adidas Fragrance Item,Used - Like New,335.71,381.53,Auckland,Waitakere,sold,2024-05-11 02:32:08,2024-05-23 02:32:08,2024-05-19 02:32:08,True,True,649,65,7
11,3061,Books & Music,Fiction,Used - Good Adidas Fiction Item,Used - Good,389.37,473.38,Canterbury,Ashburton,withdrawn,2024-11-15 11:00:46,2024-11-27 11:00:46,NULL,True,True,367,31,1
12,6080,Toys & Games,Building Sets,Used - Like New Fisher & Paykel Building Sets Item,Used - Like New,24.84,29.83,Wellington,Upper Hutt,sold,2024-01-05 09:39:25,2024-01-12 09:39:25,2024-01-17 09:39:25,False,True,1812,278,2
13,6313,Health & Beauty,Haircare,Used - Good Giant Haircare Item,Used - Good,103.24,NULL,Auckland,Papakura,closed,2024-03-10 08:47:53,2024-03-24 08:47:53,NULL,True,True,817,88,3
14,7922,Electronics,Phones,Used - Like New Adidas Phones Item,Used - Like New,878.21,1050.36,Canterbury,Timaru,closed,2025-09-14 21:49:03,2025-09-22 21:49:03,NULL,True,True,702,97,0
15,6545,Books & Music,Vinyl Records,Used - Good Adidas Vinyl Records Item,Used - Good,157.32,NULL,Wellington,Upper Hutt,closed,2025-04-11 01:28:30,2025-04-21 01:28:30,NULL,True,True,1116,201,3
16,1654,Home & Living,Appliances,New Fisher & Paykel Appliances Item,New,473.54,557.08,Wellington,Lower Hutt,sold,2026-06-07 12:37:43,2026-06-21 12:37:43,2026-06-12 12:37:43,True,True,228,33,2
17,742,Health & Beauty,Haircare,Used - Good Kathmandu Haircare Item,Used - Good,442.75,NULL,Auckland,Papakura,sold,2025-09-04 21:02:54,2025-09-13 21:02:54,2025-09-16 21:02:54,True,False,1067,175,7
18,8130,Health & Beauty,Skincare,Used - Good Hasbro Skincare Item,Used - Good,278.56,333.84,Waikato,Cambridge,sold,2026-06-24 08:24:45,2026-07-04 08:24:45,2026-07-07 08:24:45,True,True,129,13,0
19,567,Computers,Peripherals,New Samsung Peripherals Item,New,4279.59,NULL,Hawkes Bay,Hastings,sold,2025-11-12 09:59:33,2025-11-23 09:59:33,2025-11-16 09:59:33,True,True,330,39,0
20,7690,Books & Music,Instruments,Used - Average Shimano Instruments Item,Used - Average,184.92,205.68,Auckland,Waitakere,sold,2024-08-22 19:53:15,2024-09-05 19:53:15,2024-08-31 19:53:15,False,True,763,64,3
21,4624,Books & Music,Fiction,Used - Good Breville Fiction Item,Used - Good,387.5,NULL,Auckland,Papakura,closed,2024-12-29 14:25:44,2025-01-10 14:25:44,NULL,False,True,847,91,3
22,9981,Toys & Games,Building Sets,New Dyson Building Sets Item,New,313.44,NULL,Auckland,North Shore,closed,2024-01-02 01:34:48,2024-01-09 01:34:48,NULL,True,False,1660,257,3
23,5383,Home & Living,Lighting,Used - Like New Shimano Lighting Item,Used - Like New,150.71,NULL,Manawatu-Wanganui,Palmerston North,active,2026-08-16 12:41:54,2026-08-25 12:41:54,NULL,True,True,64,3,2
24,6131,Toys & Games,Building Sets,Used - Good Fisher & Paykel Building Sets Item,Used - Good,247.94,NULL,Auckland,Waitakere,sold,2026-02-14 04:27:29,2026-02-24 04:27:29,2026-02-19 04:27:29,True,False,159,21,5
25,3285,Electronics,Phones,Used - Like New Hasbro Phones Item,Used - Like New,1025.5,NULL,Auckland,Manukau,sold,2023-10-14 14:45:48,2023-10-24 14:45:48,2023-10-17 14:45:48,True,False,1266,163,8
26,4316,Electronics,Tablets,New Apple Tablets Item,New,789.18,975.86,Otago,Queenstown,sold,2026-05-02 04:16:16,2026-05-10 04:16:16,2026-05-14 04:16:16,True,False,388,46,6
27,1219,Baby & Kids,Car Seats,New Trek Car Seats Item,New,97.4,NULL,Waikato,Tauranga,sold,2025-11-13 16:59:14,2025-11-22 16:59:14,2025-11-14 16:59:14,True,False,696,86,1
28,5238,Collectables,Vintage,Used - Good Nike Vintage Item,Used - Good,4567.91,NULL,Auckland,Franklin,sold,2023-11-28 14:24:06,2023-12-11 14:24:06,2023-12-05 14:24:06,True,False,1875,209,1
29,9656,Books & Music,Instruments,Used - Average Fisher & Paykel Instruments Item,Used - Average,407.34,476.07,Auckland,Franklin,sold,2024-01-09 17:22:26,2024-01-17 17:22:26,2024-01-10 17:22:26,True,False,1923,109,4
30,3421,Electronics,Phones,Used - Good Adidas Phones Item,Used - Good,2111.96,NULL,Hawkes Bay,Napier,closed,2024-09-02 16:52:43,2024-09-11 16:52:43,NULL,True,True,1557,142,3
31,1780,Home & Living,Appliances,Used - Good Shimano Appliances Item,Used - Good,202.58,244.79,Taranaki,Hawera,closed,2026-01-25 16:14:53,2026-02-06 16:14:53,NULL,False,False,382,52,1
32,383,Clothing,Men's,Used - Average Dyson Men's Item,Used - Average,204.57,230.36,Auckland,North Shore,sold,2026-07-04 08:14:33,2026-07-14 08:14:33,2026-07-15 08:14:33,True,True,83,5,5
33,3013,Toys & Games,Puzzles,Used - Average Fisher & Paykel Puzzles Item,Used - Average,274.32,302.96,Auckland,Auckland City,sold,2024-04-10 06:21:24,2024-04-21 06:21:24,2024-04-16 06:21:24,True,False,2237,413,5
34,7541,Collectables,Stamps,Used - Like New Samsung Stamps Item,Used - Like New,4839.16,5364.55,Wellington,Kapiti Coast,closed,2026-05-25 13:01:02,2026-06-06 13:01:02,NULL,True,True,70,8,2
35,210,Baby & Kids,Car Seats,Used - Average Adidas Car Seats Item,Used - Average,21.76,27.46,Auckland,North Shore,closed,2024-11-06 02:51:14,2024-11-16 02:51:14,NULL,True,False,1948,298,3
36,1122,Clothing,Accessories,Used - Good Dyson Accessories Item,Used - Good,323.44,NULL,Wellington,Upper Hutt,sold,2025-10-23 21:55:54,2025-10-30 21:55:54,2025-10-25 21:55:54,True,True,251,19,4
37,6201,Collectables,Coins,Used - Good Breville Coins Item,Used - Good,1387.09,1644.76,Auckland,Manukau,sold,2023-10-04 01:28:46,2023-10-12 01:28:46,2023-10-05 01:28:46,True,False,2785,389,0
38,7014,Computers,Storage,Used - Good Nike Storage Item,Used - Good,3941.55,4478.39,Wellington,Kapiti Coast,closed,2025-10-20 22:47:00,2025-10-28 22:47:00,NULL,True,True,459,85,2
39,2245,Sports,Golf,Used - Good Hasbro Golf Item,Used - Good,596.04,687.45,Otago,Dunedin,closed,2023-11-03 16:15:03,2023-11-17 16:15:03,NULL,False,False,841,75,2
40,147,Sports,Fishing,New Dyson Fishing Item,New,1092.29,NULL,Wellington,Porirua,closed,2023-10-21 05:48:00,2023-10-30 05:48:00,NULL,True,False,589,70,1
41,5097,Health & Beauty,Haircare,Used - Good Fisher & Paykel Haircare Item,Used - Good,66.34,74.53,Wellington,Wellington City,closed,2024-03-04 18:38:11,2024-03-11 18:38:11,NULL,False,False,1703,187,2
42,4816,Health & Beauty,Skincare,Used - Good Samsung Skincare Item,Used - Good,116.22,150.9,Bay of Plenty,Tauranga,sold,2024-08-24 12:43:47,2024-09-01 12:43:47,2024-08-31 12:43:47,True,True,1541,187,1
43,8520,Sports,Water Sports,New Fisher & Paykel Water Sports Item,New,1399.26,NULL,Waikato,Hamilton,closed,2025-07-04 09:34:59,2025-07-16 09:34:59,NULL,True,False,773,42,3
44,6957,Baby & Kids,Car Seats,New Sony Car Seats Item,New,397.62,NULL,Northland,Kaitaia,closed,2025-02-08 09:06:26,2025-02-17 09:06:26,NULL,True,False,1278,180,3
45,9923,Home & Living,Appliances,Used - Like New Lego Appliances Item,Used - Like New,392.3,466.34,Wellington,Upper Hutt,sold,2026-02-06 20:00:48,2026-02-16 20:00:48,2026-02-08 20:00:48,True,True,172,31,6
46,1889,Electronics,Tablets,Used - Good Breville Tablets Item,Used - Good,2407.07,2691.4,Auckland,Papakura,sold,2023-12-07 19:51:16,2023-12-15 19:51:16,2023-12-10 19:51:16,False,False,801,42,2
47,6304,Health & Beauty,Haircare,New Adidas Haircare Item,New,278.59,341.29,Manawatu-Wanganui,Palmerston North,closed,2026-07-13 22:50:32,2026-07-21 22:50:32,NULL,True,True,98,15,0
48,5913,Sports,Camping,Used - Like New Hasbro Camping Item,Used - Like New,985.19,1207.61,Canterbury,Christchurch,closed,2025-08-11 12:31:56,2025-08-24 12:31:56,NULL,True,True,870,103,3
49,9516,Health & Beauty,Haircare,Used - Good Breville Haircare Item,Used - Good,439.03,NULL,Canterbury,Timaru,closed,2024-02-01 01:15:33,2024-02-10 01:15:33,NULL,True,True,2317,134,0
50,7599,Electronics,Tablets,Used - Good Trek Tablets Item,Used - Good,1108.82,NULL,Hawkes Bay,Havelock North,closed,2026-03-21 20:26:52,2026-03-30 20:26:52,NULL,True,True,460,77,2
51,5173,Toys & Games,Dolls,Used - Good Giant Dolls Item,Used - Good,315.94,348.19,Auckland,Franklin,sold,2024-08-22 14:21:26,2024-08-29 14:21:26,2024-08-25 14:21:26,False,False,735,77,5
52,1599,Computers,Networking,Used - Average Dyson Networking Item,Used - Average,4879.0,5903.61,Auckland,Auckland City,sold,2025-12-06 05:38:02,2025-12-13 05:38:02,2025-12-19 05:38:02,True,True,710,129,6
53,9941,Books & Music,Non-Fiction,Used - Good LG Non-Fiction Item,Used - Good,329.13,404.59,Gisborne,Gisborne,closed,2024-12-30 02:37:23,2025-01-11 02:37:23,NULL,False,True,822,150,3
54,4345,Baby & Kids,Maternity,Used - Good Nike Maternity Item,Used - Good,123.32,145.31,Waikato,Taupo,withdrawn,2023-12-23 11:28:18,2024-01-03 11:28:18,NULL,True,True,2772,175,2
55,1249,Books & Music,Instruments,Used - Good Dyson Instruments Item,Used - Good,164.21,202.68,Bay of Plenty,Rotorua,closed,2023-08-05 19:55:31,2023-08-18 19:55:31,NULL,True,False,1321,173,1
56,2878,Home & Living,Garden,New Nike Garden Item,New,187.52,NULL,Canterbury,Christchurch,withdrawn,2024-04-20 09:17:25,2024-05-02 09:17:25,NULL,True,False,1568,174,0
