listing_id,user_id,vehicle_type,make,model,year,mileage_km,fuel_type,transmission,body_type,colour,engine_cc,registration_status,asking_price,region,city,status,listed_date,sold_date,view_count,watchlist_count,enquiry_count
1,8679,Car,Holden,Colorado,2018,96873,Petrol,Automatic,Van,Silver,1200,Registered,19421.19,Waikato,Rotorua,expired,2026-02-08 17:28:21,NULL,483,67,31
2,4538,Boat,Mazda,MX-5,2024,31506,Diesel,Automatic,Sedan,White,1000,Registered,48966.17,Hawkes Bay,Havelock North,expired,2024-07-08 02:26:53,NULL,3359,671,196
3,5781,SUV,Ford,Everest,2012,235445,Hybrid,Automatic,Hatchback,Silver,2000,Registered,7220.16,Canterbury,Waimakariri,sold,2024-05-17 17:23:44,2024-06-29 17:23:44,3722,564,92
4,8692,Car,Hyundai,Ioniq,2015,99244,Diesel,Automatic,Ute,White,4000,Registered,8648.37,Bay of Plenty,Mount Maunganui,sold,2024-09-01 17:45:19,2024-09-18 17:45:19,3460,338,93
5,1841,Car,Mitsubishi,Triton,2012,249842,Diesel,Automatic,SUV,Grey,1600,Imported - Compliance Required,10492.95,Auckland,Auckland City,expired,2024-08-21 10:07:16,NULL,1309,253,76
6,8108,Car,Nissan,Pathfinder,2017,148296,Petrol,CVT,Coupe,Red,1500,Registered,20665.91,Nelson-Marlborough,Richmond,expired,2025-09-28 04:14:14,NULL,948,119,64
7,9542,SUV,Hyundai,i30,2020,92889,Petrol,Manual,Wagon,Blue,1600,On Hold,27876.35,Auckland,Waitakere,sold,2024-01-18 07:38:18,2024-03-01 07:38:18,4151,410,88
8,8429,Van,Kia,Sorento,2022,67539,Petrol,Manual,SUV,White,1600,Registered,23008.26,Wellington,Kapiti Coast,active,2026-07-20 11:40:41,NULL,45,6,2
9,7355,SUV,Ford,Focus,2023,48340,Petrol,Automatic,Sedan,Gold,2200,Registered,32696.25,Wellington,Kapiti Coast,sold,2025-03-27 11:22:25,2025-05-10 11:22:25,756,132,35
10,5590,Ute,Subaru,Legacy,2012,227868,Petrol,Automatic,Hatchback,White,3000,Registered,8448.86,Taranaki,New Plymouth,sold,2024-02-27 11:34:08,2024-03-27 11:34:08,2507,211,179
11,7017,Car,Ford,Everest,2023,50539,Petrol,Manual,Hatchback,Black,4000,Registered,25021.07,Auckland,North Shore,expired,2024-10-20 18:38:00,NULL,1566,159,78
12,9750,SUV,Mazda,Mazda3,2016,87725,Petrol,Automatic,Hatchback,Gold,3500,Registered,16352.77,Auckland,Papakura,withdrawn,2025-02-11 00:02:51,NULL,1792,372,104
13,7861,SUV,Toyota,Corolla,2025,13045,Electric,Automatic,Van,Grey,NULL,Registered,31898.87,Waikato,Hamilton,withdrawn,2025-04-05 03:59:27,NULL,1956,300,153
14,219,Motorhome,Holden,Commodore,2026,0,Petrol,Automatic,SUV,White,3500,Registered,36217.62,Wellington,Kapiti Coast,sold,2024-09-27 17:44:17,2024-11-01 17:44:17,728,75,40
15,8990,Car,Mitsubishi,Outlander,2026,0,Petrol,Automatic,Hatchback,Blue,3500,Registered,32158.83,Auckland,Waitakere,sold,2026-07-07 18:57:06,2026-07-18 18:57:06,142,19,2
16,8529,Car,Toyota,Hilux,2025,13638,Electric,Automatic,Sedan,Blue,NULL,Registered,35338.13,Wellington,Wellington City,sold,2025-06-18 20:37:57,2025-07-14 20:37:57,1416,274,79
17,6946,Car,Toyota,Hilux,2021,67161,Petrol,Automatic,Wagon,Silver,1500,Registered,20917.32,Canterbury,Selwyn,withdrawn,2023-12-07 17:30:34,NULL,3927,336,152
18,8800,SUV,Volkswagen,Amarok,2026,0,Petrol,Automatic,Hatchback,Blue,2200,On Hold,33503.5,Canterbury,Selwyn,sold,2024-02-03 16:57:47,2024-03-27 16:57:47,2458,444,175
19,5277,Car,Holden,Cruze,2026,0,Petrol,Automatic,Sedan,Silver,1800,Registered,30339.07,Manawatu-Wanganui,Feilding,expired,2024-07-13 04:50:38,NULL,1403,206,89
20,5606,Motorhome,Ford,Focus,2026,0,Petrol,Automatic,Sedan,Grey,1500,Expired,30550.16,Canterbury,Selwyn,withdrawn,2024-07-22 20:36:06,NULL,2946,666,168
21,8966,Ute,Toyota,Corolla,2024,27615,Petrol,Automatic,SUV,Grey,2000,Imported - Compliance Required,33606.69,Waikato,Tauranga,sold,2025-01-10 07:52:35,2025-02-11 07:52:35,2882,417,83
22,7432,Ute,Toyota,Aqua,2023,27672,Diesel,Automatic,SUV,Black,1600,Expired,32950.92,Auckland,North Shore,sold,2024-06-29 08:57:26,2024-08-28 08:57:26,1139,182,90
23,5671,Van,Ford,Escape,2015,150542,Diesel,Automatic,Wagon,White,1600,Registered,11961.57,Waikato,Rotorua,expired,2026-01-16 01:18:50,NULL,629,125,36
24,8593,SUV,Suzuki,Swift,2022,52268,Diesel,CVT,Ute,Grey,1300,Imported - Compliance Required,23976.03,Auckland,Papakura,expired,2024-11-25 20:51:36,NULL,2414,588,175
25,8906,Car,Holden,Captiva,2026,0,Petrol,CVT,Ute,Bronze,1200,Registered,36358.73,Manawatu-Wanganui,Palmerston North,sold,2024-05-17 14:39:21,2024-06-25 14:39:21,1905,195,118
26,7253,Van,Mitsubishi,Lancer,2025,13440,Electric,Automatic,Ute,White,NULL,Registered,30030.84,Bay of Plenty,Whakatane,expired,2024-05-27 18:11:01,NULL,2380,216,168
27,2667,SUV,Mercedes-Benz,C-Class,2010,272756,Hybrid,CVT,Wagon,White,2000,Imported - Compliance Required,1653.5,Waikato,Taupo,expired,2024-11-21 06:30:39,NULL,1324,238,101
28,8664,Motorcycle,Volkswagen,Amarok,2025,3354,Diesel,CVT,Van,Grey,600,Registered,11658.49,Auckland,Papakura,sold,2024-01-04 17:24:09,2024-01-14 17:24:09,4769,513,239
