listing_id,user_id,listing_type,property_type,bedrooms,bathrooms,parking_spaces,land_area_sqm,floor_area_sqm,year_built,region,city,suburb,asking_price,price_display,status,listed_date,sold_date,view_count,enquiry_count,rateable_value
1,7422,Sale,Unit,2,1,3,NULL,227.6,1981,Northland,Whangarei,West,479838.56,"$479,838",sold,2023-12-11 10:34:19,2024-03-07 10:34:19,2612,240,"$340,131"
2,7865,Tender,House,5,2,1,1009.0,120.8,1976,Canterbury,Ashburton,North,NULL,Tender,sold,2024-08-10 17:18:22,2024-10-19 17:18:22,1588,62,NULL
3,7111,Deadline Sale,Rural,5,2,1,39342.3,277.1,NULL,Bay of Plenty,Rotorua,West,1486088.79,$1.49M,sold,2026-03-17 03:45:54,2026-05-22 03:45:54,677,55,"$1,176,185"
4,7858,Sale,Townhouse,5,3,2,1174.6,187.2,2004,Wellington,Kapiti Coast,South,810638.93,"$810,638",withdrawn,2025-04-04 00:05:14,NULL,3097,111,"$692,659"
5,8569,Deadline Sale,House,3,2,3,1124.6,113.6,NULL,Canterbury,Waimakariri,South,1368327.61,$1.37M,sold,2023-12-08 23:27:01,2024-03-12 23:27:01,3463,382,"$1,087,650"
6,7790,Rent,Apartment,2,2,2,NULL,45.1,2000,Auckland,North Shore,Browns Bay,926.99,$926pw,withdrawn,2026-04-27 09:01:32,NULL,689,46,NULL
7,528,Auction,Rural,4,1,2,96455.1,241.6,2011,Auckland,North Shore,Takapuna,NULL,Auction,sold,2024-01-06 00:34:25,2024-04-25 00:34:25,3614,144,NULL
8,8544,Sale,House,2,2,1,452.2,206.4,1926,Southland,Te Anau,West,305699.87,"$305,699",withdrawn,2025-04-06 11:31:02,NULL,1516,46,"$277,821"
9,7508,Sale,Section,NULL,NULL,NULL,2763.9,NULL,2008,Taranaki,Hawera,Central,349492.12,"$349,492",under_offer,2024-12-05 04:06:48,NULL,1620,110,"$269,790"
10,8936,Sale,Unit,5,1,1,NULL,258.7,2009,Otago,Oamaru,West,1532863.55,$1.53M,expired,2025-05-08 16:54:21,NULL,1653,184,"$1,218,883"
11,8222,Sale,House,2,1,1,337.5,109.4,1933,Auckland,Franklin,North,2193773.91,$2.19M,withdrawn,2026-03-26 21:10:18,NULL,840,72,"$1,570,892"
12,8783,Rent,Lifestyle,3,3,2,33527.5,337.3,NULL,Wellington,Porirua,South,1011.18,$1011pw,withdrawn,2024-05-30 01:15:44,NULL,3055,142,NULL
13,7722,Sale,House,2,1,3,650.6,270.2,1926,Auckland,Manukau,Central,658407.38,"$658,407",sold,2025-12-20 06:03:58,2026-01-31 06:03:58,1587,71,"$564,854"
14,8077,Sale,House,2,3,1,831.1,272.3,NULL,Otago,Queenstown,Jack's Point,947671.52,"$947,671",sold,2026-05-20 08:58:27,2026-07-09 08:58:27,529,51,"$742,148"
15,8077,Tender,House,3,2,1,945.4,260.1,1987,Auckland,Franklin,West,NULL,Tender,expired,2025-08-29 14:43:32,NULL,1880,179,NULL
16,1441,Auction,Apartment,2,2,0,NULL,115.5,NULL,Otago,Queenstown,Kelvin Heights,577581.11,Auction,sold,2025-12-23 15:41:13,2026-03-09 15:41:13,1434,163,"$505,964"
17,7267,Sale,Apartment,2,1,2,NULL,110.7,1998,Auckland,Manukau,East,413781.74,"$413,781",withdrawn,2025-10-26 10:48:51,NULL,1660,110,"$300,862"
18,8671,Auction,Lifestyle,4,2,3,91010.0,200.3,1944,Auckland,Papakura,Central,NULL,Auction,expired,2025-01-25 02:44:33,NULL,1416,69,NULL
19,8363,Sale,House,3,1,3,926.2,171.9,2019,Bay of Plenty,Mount Maunganui,South,1451970.99,$1.45M,sold,2024-06-10 11:47:29,2024-07-18 11:47:29,5774,414,"$1,348,602"
20,452,Deadline Sale,Townhouse,4,3,1,534.0,301.5,1975,Auckland,Franklin,South,1719931.79,$1.72M,under_offer,2025-10-27 17:31:14,NULL,2128,97,"$1,583,653"
21,8806,Sale,House,4,1,2,520.8,267.4,1952,Auckland,Auckland City,Herne Bay,1241631.9,$1.24M,sold,2024-04-07 00:24:26,2024-05-30 00:24:26,5798,380,"$918,164"
22,7617,Rent,Townhouse,2,2,1,650.1,117.5,2004,Auckland,Franklin,East,749.94,$749pw,expired,2026-03-27 01:40:24,NULL,462,33,NULL
23,7927,Rent,Townhouse,4,2,1,345.7,237.9,NULL,Otago,Wanaka,Central,915.69,$915pw,under_offer,2026-04-18 11:10:15,NULL,787,59,NULL
24,7087,Deadline Sale,House,5,1,2,217.2,84.4,NULL,Hawkes Bay,Napier,North,589035.28,"$589,035",sold,2025-09-02 20:57:50,2025-12-03 20:57:50,857,63,"$530,961"
25,7545,Deadline Sale,House,5,2,2,1156.5,280.2,2014,Waikato,Hamilton,Chartwell,651219.87,"$651,219",expired,2025-10-19 08:53:14,NULL,1941,140,"$562,761"
26,5496,Sale,Townhouse,3,2,2,963.7,278.5,NULL,Canterbury,Christchurch,Ilam,795266.71,"$795,266",sold,2025-05-18 02:27:23,2025-07-13 02:27:23,2573,291,"$697,985"
27,7549,Sale,Townhouse,4,3,1,979.0,230.9,1981,Auckland,Auckland City,Grey Lynn,1818652.81,$1.82M,expired,2024-03-02 03:25:44,NULL,5560,545,"$1,275,233"
28,8331,Auction,Rural,3,1,2,45127.5,243.2,NULL,Wellington,Kapiti Coast,East,NULL,Auction,expired,2024-06-24 14:36:34,NULL,5264,364,NULL
29,8502,Sale,House,2,2,2,228.9,208.0,1968,Canterbury,Ashburton,North,1368501.03,$1.37M,active,2026-07-20 19:23:20,NULL,121,12,"$1,237,814"
30,7137,Auction,Townhouse,4,2,1,861.2,248.6,NULL,Wellington,Porirua,South,1393366.89,Auction,expired,2024-03-07 22:04:59,NULL,4927,373,"$1,319,085"
31,8038,Rent,Unit,4,2,2,NULL,190.1,2006,Canterbury,Selwyn,North,592.67,$592pw,under_offer,2024-02-11 03:52:28,NULL,6671,471,NULL
32,5031,Deadline Sale,House,3,2,1,1181.6,270.4,1924,Auckland,Manukau,South,1229901.06,$1.23M,expired,2025-09-29 03:39:07,NULL,1509,46,"$1,030,525"
33,7783,Rent,Townhouse,2,2,3,783.1,288.5,2013,Wellington,Lower Hutt,Wainuiomata,852.02,$852pw,expired,2024-12-24 14:21:56,NULL,2923,299,NULL
34,7503,Sale,House,3,2,2,1152.8,89.0,1936,Auckland,Franklin,Central,919535.77,"$919,535",active,2026-07-16 18:28:58,NULL,120,8,"$730,613"
35,7341,Rent,Townhouse,3,1,1,903.4,302.8,1926,Wellington,Kapiti Coast,West,1007.37,$1007pw,sold,2024-04-14 17:10:15,2024-06-29 17:10:15,5513,395,NULL
36,5985,Auction,Apartment,1,2,2,NULL,69.4,1922,Auckland,Manukau,East,817079.23,Auction,expired,2024-06-10 03:21:15,NULL,2558,79,"$628,238"
37,8627,Rent,Lifestyle,2,3,2,63351.7,131.6,1976,Canterbury,Waimakariri,Central,1170.61,$1170pw,sold,2024-04-23 10:55:54,2024-07-08 10:55:54,4527,229,NULL
38,8465,Rent,House,5,1,1,441.4,102.7,1924,Waikato,Tauranga,Otumoetai,829.91,$829pw,sold,2023-09-11 13:33:43,2023-10-16 13:33:43,7972,758,NULL
39,8932,Sale,House,5,1,3,929.6,151.2,NULL,Canterbury,Ashburton,Central,877664.48,"$877,664",sold,2025-06-19 07:45:55,2025-08-19 07:45:55,1081,81,"$762,493"
40,6420,Rent,House,4,2,2,489.0,199.8,NULL,Auckland,Papakura,North,440.99,$440pw,sold,2024-07-31 17:37:57,2024-09-04 17:37:57,5885,283,NULL
41,8494,Auction,Section,NULL,NULL,NULL,3329.1,NULL,NULL,Canterbury,Selwyn,East,266435.96,Auction,sold,2024-10-21 21:59:32,2024-11-13 21:59:32,3434,166,"$196,496"
42,7753,Deadline Sale,Townhouse,3,2,2,577.9,195.8,2020,Wellington,Upper Hutt,West,654744.31,"$654,744",sold,2023-08-21 02:36:26,2023-10-06 02:36:26,4835,360,"$461,500"
43,7703,Sale,Section,NULL,NULL,NULL,827.1,NULL,1976,Auckland,Manukau,East,364256.76,"$364,256",withdrawn,2024-06-10 12:35:58,NULL,4583,281,"$265,830"
